ticker,prediction_count,source_window_count,coverage_pct,first_decision_date,last_decision_date,latest_p_high,latest_risk_class
AFKS,46,46,100.0,2022-09-30,2026-06-19,0.11413346888909072,medium
AFLT,46,46,100.0,2022-09-30,2026-06-19,0.11174739430218099,medium
ALRS,46,46,100.0,2022-09-30,2026-06-19,0.49636154284144784,high
ASTR,31,46,67.3913043478261,2023-12-29,2026-06-19,0.8260013799649014,high
BSPB,46,46,100.0,2022-09-30,2026-06-19,0.2718943618248348,medium
CBOM,46,46,100.0,2022-09-30,2026-06-19,0.4144155333059201,medium
CHMF,46,46,100.0,2022-09-30,2026-06-19,0.15798198494800272,medium
CNRU,14,46,30.434782608695656,2025-05-31,2026-06-19,0.09276117154331315,low
DOMRF,7,46,15.217391304347828,2025-12-30,2026-06-19,0.07993827036146538,low
ENPG,46,46,100.0,2022-09-30,2026-06-19,0.6468861213038694,high
FEES,45,46,97.82608695652173,2022-09-30,2026-06-19,0.648633906892584,high
FLOT,46,46,100.0,2022-09-30,2026-06-19,0.12002689573893105,medium
GAZP,46,46,100.0,2022-09-30,2026-06-19,0.09794382597518045,low
GMKN,46,46,100.0,2022-09-30,2026-06-19,0.12061095454917964,medium
HEAD,20,46,43.47826086956522,2024-11-29,2026-06-19,0.11294623156025466,medium
HYDR,46,46,100.0,2022-09-30,2026-06-19,0.676020530484779,high
IRAO,46,46,100.0,2022-09-30,2026-06-19,0.4148833827994116,medium
LKOH,46,46,100.0,2022-09-30,2026-06-19,0.1212172217326367,medium
MAGN,46,46,100.0,2022-09-30,2026-06-19,0.16136994664689733,medium
MGNT,46,46,100.0,2022-09-30,2026-06-19,0.185552177935904,medium
MOEX,46,46,100.0,2022-09-30,2026-06-19,0.07012374973197878,low
MTLR,46,46,100.0,2022-09-30,2026-06-19,0.7827216750139818,high
MTSS,46,46,100.0,2022-09-30,2026-06-19,0.046097220139034556,low
NLMK,46,46,100.0,2022-09-30,2026-06-19,0.14596804236055283,medium
NVTK,46,46,100.0,2022-09-30,2026-06-19,0.11986764359191411,medium
OZON,43,46,93.47826086956522,2022-09-30,2026-06-19,0.12127592105328494,medium
PHOR,46,46,100.0,2022-09-30,2026-06-19,0.12044095241839602,medium
PIKK,46,46,100.0,2022-09-30,2026-06-19,0.12114051293312404,medium
PLZL,46,46,100.0,2022-09-30,2026-06-19,0.11602438453810054,medium
POSI,46,46,100.0,2022-09-30,2026-06-19,0.41021166970585776,medium
RAGR,16,46,34.78260869565217,2025-03-31,2026-06-19,0.13861568863362542,medium
RNFT,46,46,100.0,2022-09-30,2026-06-19,0.7667614220752993,high
ROSN,46,46,100.0,2022-09-30,2026-06-19,0.12040222406891675,medium
RTKM,46,46,100.0,2022-09-30,2026-06-19,0.12084729745646115,medium
RUAL,46,46,100.0,2022-09-30,2026-06-19,0.4546292622561489,high
SBER,46,46,100.0,2022-09-30,2026-06-19,0.03419496942586972,low
SGZH,46,46,100.0,2022-09-30,2026-06-19,0.6174942418839239,high
SIBN,46,46,100.0,2022-09-30,2026-06-19,0.11182715742208468,medium
SMLT,46,46,100.0,2022-09-30,2026-06-19,0.6730802570658815,high
SNGS,46,46,100.0,2022-09-30,2026-06-19,0.11953941222841608,medium
SPBE,46,46,100.0,2022-09-30,2026-06-19,0.3039916945732759,medium
SVCB,29,46,63.04347826086957,2024-02-29,2026-06-19,0.11596518084240766,medium
T,44,46,95.65217391304348,2022-09-30,2026-06-19,0.0960721927743688,low
TATN,46,46,100.0,2022-09-30,2026-06-19,0.11980414179579456,medium
UGLD,30,46,65.21739130434783,2024-01-31,2026-06-19,0.6349849284157224,high
VKCO,44,46,95.65217391304348,2022-09-30,2026-06-19,0.12124592033523829,medium
VTBR,46,46,100.0,2022-09-30,2026-06-19,0.12121152874806977,medium
WUSH,41,46,89.13043478260869,2023-02-28,2026-06-19,0.8121995103821839,high
X5,17,46,36.95652173913043,2025-02-28,2026-06-19,0.05477007673227315,low
YDEX,22,46,47.82608695652174,2024-09-30,2026-06-19,0.07378418401983491,low
