window_id,selection_end,gate_start,gate_end,bars,start_timestamp,end_timestamp,market_return_pct,market_max_drawdown_pct,market_volatility_pct,market_dispersion_pct,market_mom_24_mean_pct,market_mom_96_mean_pct,regime_risk,regime_reason,regime_history_windows,regime_bad_windows,regime_similarity,regime_bad_return_cutoff_pct,regime_bad_drawdown_cutoff_pct
1,2022-11-30T09:50:00,2022-11-30T09:50:00,2022-12-30T09:50:00,1826,2022-11-30 09:50:00,2022-12-29 23:40:00,-3.0824482440948486,-5.076498031616211,0.05163000896573067,0.1376931369304657,-0.04052962968007135,-0.1715480948656894,0.9033353614918825,prior_bad_regime_similarity,12,4,0.8962166631575794,-0.46010762453079224,-5.012290358543396
2,2022-12-30T09:50:00,2022-12-30T09:50:00,2023-01-29T09:50:00,1660,2022-12-30 09:50:00,2023-01-27 23:40:00,1.9295811653137207,-2.6270389556884766,0.04481734335422516,0.12351113557815552,0.027605783079004343,0.10586757905477265,0.8773473383355984,prior_bad_regime_similarity,17,8,0.8773473383355984,-0.785219669342041,-3.4895777702331543
3,2023-01-29T09:50:00,2023-01-29T09:50:00,2023-02-28T09:50:00,1660,2023-01-30 09:50:00,2023-02-27 23:40:00,0.3603816032409668,-6.266629695892334,0.07995913922786713,0.15321999788284302,0.005883054251666741,0.008325028350008583,0.8961090631015701,prior_bad_regime_similarity,21,10,0.8961090631015701,-0.6830394268035889,-3.355354070663452
4,2023-02-28T09:50:00,2023-02-28T09:50:00,2023-03-30T09:50:00,1744,2023-02-28 09:50:00,2023-03-29 23:40:00,3.1105637550354004,-2.7229666709899902,0.06250380724668503,0.1323629915714264,0.042642463038930205,0.19086858825107447,0.8458047498907162,prior_bad_regime_similarity,25,11,0.8458047498907162,-0.6830394268035889,-3.355354070663452
5,2023-03-30T09:50:00,2023-03-30T09:50:00,2023-04-29T09:50:00,1826,2023-03-30 09:50:00,2023-04-28 23:40:00,1.254582405090332,-2.1900296211242676,0.06913013011217117,0.14803433418273926,0.01691302767325738,0.09524447705861018,0.9241490534611868,prior_bad_regime_similarity,30,13,0.9241490534611868,-0.6543368101119995,-2.8346747159957886
6,2023-04-29T09:50:00,2023-04-29T09:50:00,2023-05-29T09:50:00,1494,2023-05-02 09:50:00,2023-05-26 23:40:00,-0.8686542510986328,-5.007541179656982,0.09166248142719269,0.1620183289051056,-0.012202237703081086,-0.09651594024144573,0.8997415195193372,prior_bad_regime_similarity,34,14,0.8997415195193372,-0.5226209759712219,-2.607560157775879
7,2023-05-29T09:50:00,2023-05-29T09:50:00,2023-06-28T09:50:00,1743,2023-05-29 09:50:00,2023-06-27 23:40:00,2.7764439582824707,-4.115605354309082,0.08931852877140045,0.16190342605113983,0.036719371726039424,0.15285951080910323,0.8902137074308616,prior_bad_regime_similarity,38,15,0.8902137074308616,-0.5409926176071167,-2.607560157775879
8,2023-06-28T09:50:00,2023-06-28T09:50:00,2023-07-28T09:50:00,1826,2023-06-28 09:50:00,2023-07-27 23:40:00,4.885470867156982,-2.2861480712890625,0.05195070803165436,0.1296033412218094,0.06410107948419434,0.26095737665017743,0.6520432440266954,prior_bad_regime_similarity,42,17,0.6520432440266954,-0.4409119486808777,-2.607560157775879
9,2023-07-28T09:50:00,2023-07-28T09:50:00,2023-08-27T09:50:00,1743,2023-07-28 09:50:00,2023-08-25 23:40:00,0.6661176681518555,-5.900627136230469,0.11849862337112427,0.1746223121881485,0.01188799212243948,0.054264729449889616,0.8915975065011987,prior_bad_regime_similarity,47,18,0.8915975065011987,-0.4225403070449829,-2.554440498352051
10,2023-08-27T09:50:00,2023-08-27T09:50:00,2023-09-26T09:50:00,1743,2023-08-28 09:50:00,2023-09-25 23:40:00,-7.389223575592041,-9.972697257995605,0.11106400936841965,0.15014462172985077,-0.10383056502660808,-0.4110848693004347,1.0,prior_bad_regime_similarity,51,20,0.5004981414241949,-0.4225403070449829,-2.687540650367737
11,2023-09-26T09:50:00,2023-09-26T09:50:00,2023-10-26T09:50:00,1826,2023-09-26 09:50:00,2023-10-25 23:40:00,1.8808722496032715,-1.722121238708496,0.0652175024151802,0.1281045526266098,0.024703879996192123,0.091007946842632,0.8521945122085955,prior_bad_regime_similarity,55,20,0.8521945122085955,-0.513756275177002,-2.8035372495651245
12,2023-10-26T09:50:00,2023-10-26T09:50:00,2023-11-25T09:50:00,1826,2023-10-26 09:50:00,2023-11-24 23:40:00,-4.125970840454102,-4.7448930740356445,0.06371112912893295,0.14401325583457947,-0.05508521401550772,-0.20942370980588224,1.0,prior_bad_regime_similarity,60,22,0.8173916496642681,-0.4669860005378723,-2.674110233783722
