window_id,selected,gate_pass,gate_reject_reasons,alpha_name,mode,k,gross,rebalance_every,expected_return_pct,calibrated_expected_return_pct,uncertainty_pct,neural_uncertainty_pct,uses_neural_feature,neural_feature_bonus_pct,regime_risk,stress_edge_pct,decision_score,trade_probability,decision_mode,calibration_count,calibration_bias_pct,calibration_win_rate,calibration_mean_raw_test_return_pct,selection_period_count,selection_period_win_rate,selection_worst_period_return_pct,gate_period_count,gate_period_win_rate,gate_worst_period_return_pct,selection_stress_return_pct,gate_stress_return_pct,diplom_risk_available,diplom_risk_class,diplom_p_high,diplom_risk_penalty_pct,diplom_risk_reason,diplom_risk_active_count,diplom_risk_available_count,diplom_risk_missing_count,diplom_risk_stale_count,diplom_risk_changed_count,soft_risk_flags
1,cash_gate_veto,False,decision_score,neural_ensemble,short_only,3,0.5,24,-6.6072916357461375,-6.6072916357461375,6.792905823421188,3.2970398241146044,True,0.0,0.9033353614918825,-10.339811716181377,-10.339811716181377,0.17914535308281784,balanced,0,0.0,,,3,0.3333333333333333,-2.6772553118766695,2,0.5,-0.6465756497051944,-17.745412975950124,-6.6072916357461375,False,,,0.0,diplom_risk_missing,231,0,231,0,0,"gate_stress,stress_edge,may_like_regime"
2,cash_gate_veto,False,decision_score,mom_96,short_only,1,0.5,24,-5.811461461484269,-5.811461461484269,6.2712228870559095,3.1348233357337967,False,0.0,0.8773473383355984,-9.322410479457236,-9.322410479457236,0.1844419389367416,balanced,1,0.0,,,3,0.6666666666666666,-2.9110620733281967,2,0.5,-2.9522001782731233,-8.485328644913604,-5.811461461484269,False,,,0.0,diplom_risk_missing,70,0,70,0,0,"gate_stress,stress_edge,may_like_regime"
3,cash_gate_veto,False,decision_score,mom_96,short_only,1,0.5,24,-3.5766257989761963,-3.5766257989761963,7.270591765272736,3.034223460126668,False,0.0,0.8961090631015701,-7.465496511474009,-7.465496511474009,0.26370354870663965,balanced,2,0.0,,,4,0.5,-4.661305688503914,2,1.0,0.4532128383833989,-12.096306902971243,-3.5766257989761963,False,,,0.0,diplom_risk_missing,70,0,70,0,0,"gate_stress,stress_edge,may_like_regime"
4,cash_gate_veto,False,decision_score,mom_96,short_only,1,0.5,24,-6.510277071958049,-6.510277071958049,6.303470830685601,2.652621366185685,False,0.0,0.8458047498907162,-9.985198987534083,-9.985198987534083,0.1702184995478364,balanced,3,0.0,,,4,0.25,-3.135340525878194,2,0.0,-1.9353226726088413,-13.125241724654424,-6.510277071958049,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
5,cash_gate_veto,False,decision_score,voladj_mom_96,long_only,3,0.5,24,-6.333051272224733,-5.063962293508498,6.274247556858436,2.3813154766118374,False,0.0,0.9241490534611868,-8.64617251860073,-8.64617251860073,0.2013237531535224,balanced,4,2.5381779574324694,0.25,-3.0882360346086934,4,0.25,-4.8192371520085935,2,0.5,-2.799422924238737,-15.741482250431659,-6.333051272224733,False,,,0.0,diplom_risk_missing,231,0,231,0,0,"gate_stress,stress_edge,may_like_regime"
6,cash_gate_veto,False,decision_score,mom_48,long_only,1,0.5,24,-11.993905689912864,-10.544236141114158,11.333345114647837,2.6080737077069305,False,0.0,0.8997415195193372,-15.860519210519907,-15.860519210519907,0.1979024307514017,balanced,5,2.899339097597413,0.2,-2.8684023504804634,4,0.5,-3.1839303806287744,1,0.0,-7.797549315263586,-5.660368702389973,-11.993905689912864,False,,,0.0,diplom_risk_missing,63,0,63,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
7,cash_gate_veto,False,decision_score,mom_48,long_only,1,0.5,24,-4.820632328127616,-2.603550059049774,11.676820324282332,2.656999246013185,False,0.0,0.8902137074308616,-8.025757733694881,-8.025757733694881,0.33462864825347954,balanced,6,4.4341645381556845,0.3333333333333333,-2.3712709502280234,4,0.75,-9.508122848373157,2,0.5,-0.6407449911394747,-10.512489890472665,-4.820632328127616,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,stress_edge,may_like_regime"
8,cash_gate_veto,False,decision_score,mom_48,long_only,1,0.5,24,-7.791454501286266,-5.712850372209175,11.454873624210812,2.8159022506616718,False,0.0,0.6520432440266954,-10.700121006723002,-10.700121006723002,0.2820914698301987,balanced,7,4.157208258154182,0.2857142857142857,-2.364683921621513,4,0.5,-5.576569274093213,2,0.0,-2.1351865951642734,-9.868932775279681,-7.791454501286266,False,,,0.0,diplom_risk_missing,77,0,77,0,0,"gate_stress,gate_month_win_rate,stress_edge"
9,cash_gate_veto,False,decision_score,mom_96,long_only,3,0.5,24,-5.4087210382793955,-3.0326571529491657,6.505347496097046,2.508985103835186,False,0.0,0.8915975065011987,-6.646925036334929,-6.646925036334929,0.26468408205180444,balanced,8,4.75212777066046,0.375,-1.928459699304057,3,0.3333333333333333,-3.2152419486842,2,0.5,-3.397763293425804,-8.721519241743426,-5.4087210382793955,False,,,0.0,diplom_risk_missing,219,0,219,0,0,"gate_stress,stress_edge,may_like_regime"
10,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",voladj_mom_96,long_only,1,0.5,24,-10.244729430759614,-8.339720048365978,8.67985855317824,2.500619202188841,False,0.0,1.0,-12.877670541978361,-12.877670541978361,0.1848802414109016,balanced,9,3.810018764787273,0.3333333333333333,-2.7292502127677856,4,0.75,-3.0042816779866977,2,0.5,-5.370514040831898,-10.788995161320258,-10.244729430759614,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,stress_edge,may_like_regime"
11,cash_gate_veto,False,decision_score,voladj_mom_96,short_only,1,0.5,24,-9.765190316194817,-8.068143067891002,7.019210692738696,2.2517566185130122,False,0.0,0.8521945122085955,-11.803158578662439,-11.803158578662439,0.15689024123240147,balanced,10,3.3940944966076287,0.3,-3.5157205262678852,4,0.75,-4.142018106361311,2,0.0,-2.6532571626138646,-15.246487966231303,-9.765190316194817,False,,,0.0,diplom_risk_missing,77,0,77,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
12,cash_gate_veto,False,catastrophic_regime_risk,mom_96,short_only,1,0.5,24,5.691259278916139,7.129821410889793,8.174385345226241,2.7715736755182023,False,0.0,1.0,2.768786540060608,2.768786540060608,0.5838783356867677,balanced,11,2.877124263947308,0.2727272727272727,-4.292270331048143,4,0.25,-1.4774032174678542,2,0.5,-0.6038397164827791,-12.832109736984144,5.691259278916139,False,,,0.0,diplom_risk_missing,77,0,77,0,0,may_like_regime
13,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,short_only,1,1.5,24,-22.73366552687999,-21.798635396419485,24.42843644019067,2.5099808047525585,False,0.0,1.0,-31.84858815048622,-31.84858815048622,0.2135344773774858,balanced,12,1.8700602609210097,0.25,-4.227613177915141,4,1.0,4.41221990920635,2,0.5,-17.0820274789503,4.112795081830978,-22.73366552687999,False,,,0.0,diplom_risk_missing,70,0,70,0,0,"gate_stress,stress_edge,may_like_regime"
14,cash_gate_veto,False,decision_score,mom_96,short_only,3,0.5,24,-3.4276174844259932,-1.3858477128327635,4.833478189127804,2.093623152800969,False,0.0,0.8695756383796447,-4.381928536596962,-4.381928536596962,0.28770044400222416,balanced,13,4.083539543186459,0.3076923076923077,-3.2938255947299875,4,0.25,-1.4368405608391144,2,0.5,-2.2084780994937603,-10.68659318537537,-3.4276174844259932,False,,,0.0,diplom_risk_missing,210,0,210,0,0,"gate_stress,stress_edge,may_like_regime"
15,cash_gate_veto,False,decision_score,mom_48,short_only,1,1.5,24,-15.62157448947179,-13.68863613898008,23.801153068682545,2.2096547972116816,False,0.0,0.8483826367856415,-23.29161366819743,-23.29161366819743,0.2731712869542338,balanced,14,3.8658767009834207,0.2857142857142857,-3.22936360454085,4,0.75,-8.00265455366903,2,0.5,-2.7818738596637416,-22.837706099941933,-15.62157448947179,False,,,0.0,diplom_risk_missing,76,0,76,0,0,"gate_stress,stress_edge,may_like_regime"
16,cash_gate_veto,False,decision_score,mom_96,short_only,1,0.5,24,-12.946341373303694,-11.325589976686443,7.7276957905162815,2.2800732426923895,False,0.0,0.8787233332787049,-15.348368503285197,-15.348368503285197,0.12066469401390091,balanced,15,3.2415027932345013,0.26666666666666666,-4.422159791219604,4,0.5,-2.9139190242003843,2,0.0,-4.969169320007971,-10.158428625267558,-12.946341373303694,False,,,0.0,diplom_risk_missing,66,0,66,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
17,alpha_policy,True,,mom_48,long_only,1,0.5,24,8.483879451027931,9.996747020700687,8.136264912128082,3.068706691137528,False,0.0,0.6623285368507632,6.155561496179713,6.155561496179713,0.6806061108849129,balanced,16,3.025735139345511,0.25,-4.9680948694116935,4,0.25,-3.0195996427735516,2,1.0,5.8491488954045545,-15.550815092253256,8.483879451027931,False,,,0.0,diplom_risk_missing,73,0,73,0,0,
18,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,long_only,1,0.5,24,1.969438046650196,3.1292163264698716,9.02173663636374,3.010265360433251,False,0.0,0.960342371209952,-1.468905053072365,-1.468905053072365,0.45938507587883953,balanced,17,2.3195565596393513,0.23529411764705882,-4.704996422071669,4,0.75,-5.996468697919521,2,1.0,0.25621157957427254,-8.284262382489727,1.969438046650196,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"stress_edge,may_like_regime"
19,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,long_only,1,1.5,24,-25.02720148486538,-24.10232996171424,29.35686516023116,2.530927565714268,False,0.0,1.0,-35.87723276779514,-35.87723276779514,0.22756585616286412,balanced,18,1.8497430463022804,0.2222222222222222,-4.67514376716645,4,0.5,-8.359831657040061,2,0.5,-19.8486596463566,-3.2622535232621486,-25.02720148486538,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,stress_edge,may_like_regime"
20,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,long_only,1,0.5,24,-11.618024446037401,-10.657406814473617,9.94183413169829,2.708343784324825,False,0.0,1.0,-15.637048760568018,-15.637048760568018,0.17180998100240358,balanced,19,1.9212352631275669,0.21052631578947367,-5.577457585677829,4,0.75,-5.573081149024961,2,0.5,-7.650465060138001,-8.425916538190926,-11.618024446037401,False,,,0.0,diplom_risk_missing,70,0,70,0,0,"gate_stress,stress_edge,may_like_regime"
21,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,short_only,1,0.5,24,-9.208129645657026,-8.410416695987635,7.034918631520238,2.124260821514518,False,0.0,1.0,-12.372638217019718,-12.372638217019718,0.14694740675580095,balanced,20,1.5954258993387829,0.2,-6.109233529328213,4,0.75,-3.5002717914752846,2,0.0,-3.1354724343155005,-11.140723947003995,-9.208129645657026,False,,,0.0,diplom_risk_missing,76,0,76,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
22,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",voladj_rev_96,short_only,1,1.0,24,-16.010480775980795,-14.52615192191562,17.14087774564468,2.508629466007863,False,0.0,1.0,-22.025459132891257,-22.025459132891257,0.21670594743574736,balanced,21,2.968657708130351,0.23809523809523808,-4.807595540393312,4,0.75,-5.400820102466108,2,0.5,-11.665842560188421,-20.696489324987898,-16.010480775980795,False,,,0.0,diplom_risk_missing,77,0,77,0,0,"gate_stress,stress_edge,may_like_regime"
23,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,short_only,1,1.5,24,-10.7009226401512,-8.88896212944861,38.547697621502394,2.55010026917324,False,0.0,0.9529083412391121,-23.810018808833114,-23.810018808833114,0.35031000947927887,balanced,22,3.6239210214051805,0.2727272727272727,-4.5266152965483535,4,0.5,-8.30734984711492,2,0.5,-9.818769714041231,8.34926800762268,-10.7009226401512,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,stress_edge,may_like_regime"
