window_id,validation_start,validation_end,selection_start,selection_end,gate_start,gate_end,test_start,test_end,selected,gate_pass,gate_reject_reasons,alpha_name,mode,k,gross,rebalance_every,raw_alpha_name,raw_mode,raw_k,raw_gross,raw_rebalance_every,selection_initial_cash,selection_final_equity,selection_pnl,selection_return_pct,selection_max_drawdown_pct,selection_sharpe_like,selection_bars,selection_active_rate,selection_avg_turnover_per_bar,selection_total_turnover,selection_mean_gross_exposure,selection_stop_exits,selection_take_profit_exits,selection_filter_exits,selection_diplom_risk_available,selection_diplom_risk_class,selection_diplom_p_high,selection_diplom_risk_penalty_pct,selection_diplom_risk_reason,selection_diplom_risk_active_count,selection_diplom_risk_available_count,selection_diplom_risk_missing_count,selection_diplom_risk_stale_count,selection_diplom_risk_changed_count,selection_stress_return_pct,worst_selection_segment_return_pct,validation_initial_cash,validation_final_equity,validation_pnl,validation_return_pct,validation_max_drawdown_pct,validation_sharpe_like,validation_bars,validation_active_rate,validation_avg_turnover_per_bar,validation_total_turnover,validation_mean_gross_exposure,validation_stop_exits,validation_take_profit_exits,validation_filter_exits,validation_diplom_risk_available,validation_diplom_risk_class,validation_diplom_p_high,validation_diplom_risk_penalty_pct,validation_diplom_risk_reason,validation_diplom_risk_active_count,validation_diplom_risk_available_count,validation_diplom_risk_missing_count,validation_diplom_risk_stale_count,validation_diplom_risk_changed_count,validation_stress_return_pct,worst_validation_segment_return_pct,gate_initial_cash,gate_final_equity,gate_pnl,gate_return_pct,gate_max_drawdown_pct,gate_sharpe_like,gate_bars,gate_active_rate,gate_avg_turnover_per_bar,gate_total_turnover,gate_mean_gross_exposure,gate_stop_exits,gate_take_profit_exits,gate_filter_exits,gate_diplom_risk_available,gate_diplom_risk_class,gate_diplom_p_high,gate_diplom_risk_penalty_pct,gate_diplom_risk_reason,gate_diplom_risk_active_count,gate_diplom_risk_available_count,gate_diplom_risk_missing_count,gate_diplom_risk_stale_count,gate_diplom_risk_changed_count,gate_stress_return_pct,worst_gate_segment_return_pct,expected_return_pct,calibrated_expected_return_pct,uncertainty_pct,neural_uncertainty_pct,uses_neural_feature,neural_feature_bonus_pct,regime_risk,stress_edge_pct,decision_score,trade_probability,decision_mode,calibration_count,calibration_bias_pct,calibration_win_rate,calibration_mean_raw_test_return_pct,selection_period_count,selection_period_win_rate,selection_worst_period_return_pct,gate_period_count,gate_period_win_rate,gate_worst_period_return_pct,diplom_risk_available,diplom_risk_class,diplom_p_high,diplom_risk_penalty_pct,diplom_risk_reason,diplom_risk_active_count,diplom_risk_available_count,diplom_risk_missing_count,diplom_risk_stale_count,diplom_risk_changed_count,soft_risk_flags,test_initial_cash,test_final_equity,test_pnl,test_return_pct,test_max_drawdown_pct,test_sharpe_like,test_bars,test_active_rate,test_avg_turnover_per_bar,test_total_turnover,test_mean_gross_exposure,test_stop_exits,test_take_profit_exits,test_filter_exits,worst_test_segment_return_pct,test_stress_return_pct,raw_test_initial_cash,raw_test_final_equity,raw_test_pnl,raw_test_return_pct,raw_test_max_drawdown_pct,raw_test_sharpe_like,raw_test_bars,raw_test_active_rate,raw_test_avg_turnover_per_bar,raw_test_total_turnover,raw_test_mean_gross_exposure,raw_test_stop_exits,raw_test_take_profit_exits,raw_test_filter_exits,raw_test_diplom_risk_available,raw_test_diplom_risk_class,raw_test_diplom_p_high,raw_test_diplom_risk_penalty_pct,raw_test_diplom_risk_reason,raw_test_diplom_risk_active_count,raw_test_diplom_risk_available_count,raw_test_diplom_risk_missing_count,raw_test_diplom_risk_stale_count,raw_test_diplom_risk_changed_count,raw_test_stress_return_pct,test_diplom_risk_available,test_diplom_risk_class,test_diplom_p_high,test_diplom_risk_penalty_pct,test_diplom_risk_reason,test_diplom_risk_active_count,test_diplom_risk_available_count,test_diplom_risk_missing_count,test_diplom_risk_stale_count,test_diplom_risk_changed_count
1,2022-09-01T09:50:00,2022-12-30T09:50:00,2022-09-01T09:50:00,2022-11-30T09:50:00,2022-11-30T09:50:00,2022-12-30T09:50:00,2022-12-30T09:50:00,2023-01-29T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,neural_ensemble,short_only,3,0.5,24,10000.0,9917.747905774664,-82.2520942253359,-0.8225209422533575,-10.089140446322586,-0.02698181806474187,5026,0.9952248308794269,0.03717336540102627,186.833334505558,0.49761241543971346,0,0,0,False,,,0.0,diplom_risk_missing,627,0,627,0,0,-17.745412975950124,-5.314128017332765,10000.0,9985.608203669148,-14.39179633085223,-0.14391796330852635,-3.162945428172237,-0.044226166101695906,1826,1.0,0.03660094953445067,66.83333384990692,0.5,0,0,0,False,,,0.0,diplom_risk_missing,231,0,231,0,0,-6.6072916357461375,-1.8912307436905862,10000.0,9985.608203669148,-14.39179633085223,-0.14391796330852635,-3.162945428172237,-0.044226166101695906,1826,1.0,0.03660094953445067,66.83333384990692,0.5,0,0,0,False,,,0.0,diplom_risk_missing,231,0,231,0,0,-6.6072916357461375,-1.8912307436905862,-6.6072916357461375,-6.6072916357461375,6.792905823421188,3.2970398241146044,True,0.0,0.9033353614918825,-10.339811716181377,-10.339811716181377,0.17914535308281784,balanced,0,0.0,,,3,0.3333333333333333,-2.6772553118766695,2,0.5,-0.6465756497051944,False,,,0.0,diplom_risk_missing,231,0,231,0,0,"gate_stress,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,9262.798981199106,-737.2010188008935,-7.372010188008938,-8.935375536009104,-5.6350932319464135,1660,1.0,0.03744979938828802,62.166666984558105,0.5,0,0,0,False,,,0.0,diplom_risk_missing,210,0,210,0,0,-12.962517180771771,,,,,,,,,,
2,2022-10-01T09:50:00,2023-01-29T09:50:00,2022-10-01T09:50:00,2022-12-30T09:50:00,2022-12-30T09:50:00,2023-01-29T09:50:00,2023-01-29T09:50:00,2023-02-28T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,mom_96,short_only,1,0.5,24,10000.0,10397.929737146678,397.92973714667824,3.9792973714667834,-9.413378950949946,0.5844872120346383,5229,1.0,0.02438324727481354,127.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,218,0,218,0,0,-8.485328644913604,-4.100177443276087,10000.0,9759.68646605997,-240.31353394003054,-2.4031353394003085,-4.875667333380374,-1.1873821431755895,1660,1.0,0.0213855421686747,35.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,70,0,70,0,0,-5.811461461484269,-2.491279349424358,10000.0,9759.68646605997,-240.31353394003054,-2.4031353394003085,-4.875667333380374,-1.1873821431755895,1660,1.0,0.0213855421686747,35.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,70,0,70,0,0,-5.811461461484269,-2.491279349424358,-5.811461461484269,-5.811461461484269,6.2712228870559095,3.1348233357337967,False,0.0,0.8773473383355984,-9.322410479457236,-9.322410479457236,0.1844419389367416,balanced,1,0.0,,,3,0.6666666666666666,-2.9110620733281967,2,0.5,-2.9522001782731233,False,,,0.0,diplom_risk_missing,70,0,70,0,0,"gate_stress,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10112.072866546057,112.07286654605741,1.1207286654605797,-4.630483772764215,0.6480850636789225,1660,1.0,0.0286144578313253,47.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,70,0,70,0,0,-3.5766257989761963,,,,,,,,,,
3,2022-10-31T09:50:00,2023-02-28T09:50:00,2022-10-31T09:50:00,2023-01-29T09:50:00,2023-01-29T09:50:00,2023-02-28T09:50:00,2023-02-28T09:50:00,2023-03-30T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,mom_96,short_only,1,0.5,24,10000.0,10047.837686091316,47.837686091315845,0.47837686091316556,-7.567758955228787,0.15343274240068883,5229,1.0,0.025530694205393,133.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,218,0,218,0,0,-12.096306902971243,-3.396174609831726,10000.0,10112.072866546057,112.07286654605741,1.1207286654605797,-4.630483772764215,0.6480850636789225,1660,1.0,0.0286144578313253,47.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,70,0,70,0,0,-3.5766257989761963,-1.7331618467823162,10000.0,10112.072866546057,112.07286654605741,1.1207286654605797,-4.630483772764215,0.6480850636789225,1660,1.0,0.0286144578313253,47.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,70,0,70,0,0,-3.5766257989761963,-1.7331618467823162,-3.5766257989761963,-3.5766257989761963,7.270591765272736,3.034223460126668,False,0.0,0.8961090631015701,-7.465496511474009,-7.465496511474009,0.26370354870663965,balanced,2,0.0,,,4,0.5,-4.661305688503914,2,1.0,0.4532128383833989,False,,,0.0,diplom_risk_missing,70,0,70,0,0,"gate_stress,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,9726.273805696088,-273.72619430391205,-2.7372619430391154,-5.625596680663958,-1.5384156141560852,1744,1.0,0.02264908256880734,39.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-6.510277071958049,,,,,,,,,,
4,2022-11-30T09:50:00,2023-03-30T09:50:00,2022-11-30T09:50:00,2023-02-28T09:50:00,2023-02-28T09:50:00,2023-03-30T09:50:00,2023-03-30T09:50:00,2023-04-29T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,mom_96,short_only,1,0.5,24,10000.0,9950.229330812248,-49.77066918775199,-0.4977066918775197,-11.164394578423497,0.024897395661278063,5146,1.0,0.02633113097551496,135.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,215,0,215,0,0,-13.125241724654424,-2.9514824294180175,10000.0,9726.273805696088,-273.72619430391205,-2.7372619430391154,-5.625596680663958,-1.5384156141560852,1744,1.0,0.02264908256880734,39.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-6.510277071958049,-2.931637610868265,10000.0,9726.273805696088,-273.72619430391205,-2.7372619430391154,-5.625596680663958,-1.5384156141560852,1744,1.0,0.02264908256880734,39.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-6.510277071958049,-2.931637610868265,-6.510277071958049,-6.510277071958049,6.303470830685601,2.652621366185685,False,0.0,0.8458047498907162,-9.985198987534083,-9.985198987534083,0.1702184995478364,balanced,3,0.0,,,4,0.25,-3.135340525878194,2,0.0,-1.9353226726088413,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,9663.55993271527,-336.4400672847296,-3.364400672847301,-6.584154534737985,-1.6683614780582365,1826,1.0,0.027656078860898138,50.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,77,0,77,0,0,-8.130955094965897,,,,,,,,,,
5,2022-12-30T09:50:00,2023-04-29T09:50:00,2022-12-30T09:50:00,2023-03-30T09:50:00,2023-03-30T09:50:00,2023-04-29T09:50:00,2023-04-29T09:50:00,2023-05-29T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,voladj_mom_96,long_only,3,0.5,24,10000.0,9534.559905305628,-465.4400946943715,-4.654400946943715,-9.77722234375552,-1.2331815400818258,5064,1.0,0.02438783626208938,123.50000283122063,0.5,0,0,0,False,,,0.0,diplom_risk_missing,633,0,633,0,0,-15.741482250431659,-3.4211548196289687,10000.0,9783.56068469051,-216.43931530948976,-2.164393153094901,-5.61957817832287,-1.3181447645106013,1826,1.0,0.02382256343618019,43.50000083446503,0.5,0,0,0,False,,,0.0,diplom_risk_missing,231,0,231,0,0,-6.333051272224733,-4.129791072140576,10000.0,9783.56068469051,-216.43931530948976,-2.164393153094901,-5.61957817832287,-1.3181447645106013,1826,1.0,0.02382256343618019,43.50000083446503,0.5,0,0,0,False,,,0.0,diplom_risk_missing,231,0,231,0,0,-6.333051272224733,-4.129791072140576,-6.333051272224733,-5.063962293508498,6.274247556858436,2.3813154766118374,False,0.0,0.9241490534611868,-8.64617251860073,-8.64617251860073,0.2013237531535224,balanced,4,2.5381779574324694,0.25,-3.0882360346086934,4,0.25,-4.8192371520085935,2,0.5,-2.799422924238737,False,,,0.0,diplom_risk_missing,231,0,231,0,0,"gate_stress,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,9801.093238603245,-198.90676139675452,-1.9890676139675434,-4.903610928534263,-1.627884223581076,1494,1.0,0.02487728745742655,37.166667461395264,0.5,0,0,0,False,,,0.0,diplom_risk_missing,189,0,189,0,0,-5.568482424936516,,,,,,,,,,
6,2023-01-29T09:50:00,2023-05-29T09:50:00,2023-01-29T09:50:00,2023-04-29T09:50:00,2023-04-29T09:50:00,2023-05-29T09:50:00,2023-05-29T09:50:00,2023-06-28T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,mom_48,long_only,1,0.5,24,10000.0,11023.789251367065,1023.7892513670649,10.237892513670644,-13.857000356187765,1.1518634032943524,5230,1.0,0.029732313575525814,155.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,218,0,218,0,0,-5.660368702389973,-11.142186984747426,10000.0,9220.245068473641,-779.7549315263586,-7.797549315263586,-9.652785241251138,-3.3032571920207254,1494,1.0,0.03112449799196787,46.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,63,0,63,0,0,-11.993905689912864,-2.4458893438533913,10000.0,9220.245068473641,-779.7549315263586,-7.797549315263586,-9.652785241251138,-3.3032571920207254,1494,1.0,0.03112449799196787,46.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,63,0,63,0,0,-11.993905689912864,-2.4458893438533913,-11.993905689912864,-10.544236141114158,11.333345114647837,2.6080737077069305,False,0.0,0.8997415195193372,-15.860519210519907,-15.860519210519907,0.1979024307514017,balanced,5,2.899339097597413,0.2,-2.8684023504804634,4,0.5,-3.1839303806287744,1,0.0,-7.797549315263586,False,,,0.0,diplom_risk_missing,63,0,63,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10011.438605103418,11.438605103418013,0.11438605103417654,-8.997185609329206,0.15406136163636858,1743,1.0,0.028973034997131383,50.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-4.820632328127616,,,,,,,,,,
7,2023-02-28T09:50:00,2023-06-28T09:50:00,2023-02-28T09:50:00,2023-05-29T09:50:00,2023-05-29T09:50:00,2023-06-28T09:50:00,2023-06-28T09:50:00,2023-07-28T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,mom_48,long_only,1,0.5,24,10000.0,10435.695708384943,435.6957083849429,4.356957083849422,-12.794003595156422,0.5921996055163782,5064,1.0,0.030312006319115323,153.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,211,0,211,0,0,-10.512489890472665,-4.706105675965999,10000.0,10011.438605103418,11.438605103418013,0.11438605103417654,-8.997185609329206,0.15406136163636858,1743,1.0,0.028973034997131383,50.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-4.820632328127616,-2.852870879283609,10000.0,10011.438605103418,11.438605103418013,0.11438605103417654,-8.997185609329206,0.15406136163636858,1743,1.0,0.028973034997131383,50.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-4.820632328127616,-2.852870879283609,-4.820632328127616,-2.603550059049774,11.676820324282332,2.656999246013185,False,0.0,0.8902137074308616,-8.025757733694881,-8.025757733694881,0.33462864825347954,balanced,6,4.4341645381556845,0.3333333333333333,-2.3712709502280234,4,0.75,-9.508122848373157,2,0.5,-0.6407449911394747,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,9767.483825001755,-232.51617499824533,-2.3251617499824517,-7.959120920636387,-0.9283885924925057,1826,1.0,0.03148959474260679,57.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,77,0,77,0,0,-7.791454501286266,,,,,,,,,,
8,2023-03-30T09:50:00,2023-07-28T09:50:00,2023-03-30T09:50:00,2023-06-28T09:50:00,2023-06-28T09:50:00,2023-07-28T09:50:00,2023-07-28T09:50:00,2023-08-27T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,mom_48,long_only,1,0.5,24,10000.0,10447.59745077132,447.5974507713199,4.4759745077131985,-12.69051343785491,0.5919338897358454,5063,1.0,0.029132925143195734,147.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,211,0,211,0,0,-9.868932775279681,-9.485293829112006,10000.0,9767.483825001755,-232.51617499824533,-2.3251617499824517,-7.959120920636387,-0.9283885924925057,1826,1.0,0.03148959474260679,57.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,77,0,77,0,0,-7.791454501286266,-2.604797051734109,10000.0,9767.483825001755,-232.51617499824533,-2.3251617499824517,-7.959120920636387,-0.9283885924925057,1826,1.0,0.03148959474260679,57.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,77,0,77,0,0,-7.791454501286266,-2.604797051734109,-7.791454501286266,-5.712850372209175,11.454873624210812,2.8159022506616718,False,0.0,0.6520432440266954,-10.700121006723002,-10.700121006723002,0.2820914698301987,balanced,7,4.157208258154182,0.2857142857142857,-2.364683921621513,4,0.5,-5.576569274093213,2,0.0,-2.1351865951642734,False,,,0.0,diplom_risk_missing,77,0,77,0,0,"gate_stress,gate_month_win_rate,stress_edge",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10112.510985691813,112.5109856918134,1.1251098569181384,-8.102091297731429,0.47812507445530206,1743,1.0,0.02725186460126219,47.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-3.569844144663259,,,,,,,,,,
9,2023-04-29T09:50:00,2023-08-27T09:50:00,2023-04-29T09:50:00,2023-07-28T09:50:00,2023-07-28T09:50:00,2023-08-27T09:50:00,2023-08-27T09:50:00,2023-09-26T09:50:00,cash_gate_veto,False,decision_score,cash,cash,0,0.0,0,mom_96,long_only,3,0.5,24,10000.0,10090.402562035062,90.40256203506215,0.9040256203506125,-7.4658269737463145,0.2593010724004895,5063,1.0,0.019784054742272888,100.16666916012764,0.5,0,0,0,False,,,0.0,diplom_risk_missing,633,0,633,0,0,-8.721519241743426,-2.616632930757845,10000.0,9804.452643066896,-195.5473569331043,-1.9554735693310454,-5.779131969402307,-0.9524417034329765,1743,1.0,0.020558424691530186,35.83333423733711,0.5,0,0,0,False,,,0.0,diplom_risk_missing,219,0,219,0,0,-5.4087210382793955,-1.5584343509872478,10000.0,9804.452643066896,-195.5473569331043,-1.9554735693310454,-5.779131969402307,-0.9524417034329765,1743,1.0,0.020558424691530186,35.83333423733711,0.5,0,0,0,False,,,0.0,diplom_risk_missing,219,0,219,0,0,-5.4087210382793955,-1.5584343509872478,-5.4087210382793955,-3.0326571529491657,6.505347496097046,2.508985103835186,False,0.0,0.8915975065011987,-6.646925036334929,-6.646925036334929,0.26468408205180444,balanced,8,4.75212777066046,0.375,-1.928459699304057,3,0.3333333333333333,-3.2152419486842,2,0.5,-3.397763293425804,False,,,0.0,diplom_risk_missing,219,0,219,0,0,"gate_stress,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,9086.44256795224,-913.5574320477608,-9.135574320477613,-10.920447110129194,-5.6297895072888124,1743,1.0,0.02151463047841193,37.500000923871994,0.5,0,0,0,False,,,0.0,diplom_risk_missing,219,0,219,0,0,-12.483508550029187,,,,,,,,,,
10,2023-05-29T09:50:00,2023-09-26T09:50:00,2023-05-29T09:50:00,2023-08-27T09:50:00,2023-08-27T09:50:00,2023-09-26T09:50:00,2023-09-26T09:50:00,2023-10-26T09:50:00,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",cash,cash,0,0.0,0,voladj_mom_96,long_only,1,0.5,24,10000.0,10518.735605178676,518.7356051786755,5.187356051786751,-10.51378625020144,0.7903624529063668,5312,1.0,0.03096762048192771,164.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,222,0,222,0,0,-10.788995161320258,-7.047776412043527,10000.0,9479.122852743109,-520.8771472568915,-5.208771472568918,-10.506339407755217,-2.394134305002688,1743,1.0,0.03126792885829031,54.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-10.244729430759614,-2.8401271922676163,10000.0,9479.122852743109,-520.8771472568915,-5.208771472568918,-10.506339407755217,-2.394134305002688,1743,1.0,0.03126792885829031,54.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,73,0,73,0,0,-10.244729430759614,-2.8401271922676163,-10.244729430759614,-8.339720048365978,8.67985855317824,2.500619202188841,False,0.0,1.0,-12.877670541978361,-12.877670541978361,0.1848802414109016,balanced,9,3.810018764787273,0.3333333333333333,-2.7292502127677856,4,0.75,-3.0042816779866977,2,0.5,-5.370514040831898,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,stress_edge,may_like_regime",10000.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,8940.604665223122,-1059.3953347768784,-10.593953347768782,-10.837016950790336,-5.543988967501241,1826,1.0,0.030941949616648413,56.5,0.5,0,0,0,False,,,0.0,diplom_risk_missing,77,0,77,0,0,-15.512717999349102,,,,,,,,,,
