window_id,selected,gate_pass,gate_reject_reasons,alpha_name,mode,k,gross,rebalance_every,expected_return_pct,calibrated_expected_return_pct,uncertainty_pct,neural_uncertainty_pct,uses_neural_feature,neural_feature_bonus_pct,regime_risk,stress_edge_pct,decision_score,trade_probability,decision_mode,calibration_count,calibration_bias_pct,calibration_win_rate,calibration_mean_raw_test_return_pct,selection_period_count,selection_period_win_rate,selection_worst_period_return_pct,gate_period_count,gate_period_win_rate,gate_worst_period_return_pct,selection_stress_return_pct,gate_stress_return_pct,diplom_risk_available,diplom_risk_class,diplom_p_high,diplom_risk_penalty_pct,diplom_risk_reason,diplom_risk_active_count,diplom_risk_available_count,diplom_risk_missing_count,diplom_risk_stale_count,diplom_risk_changed_count,soft_risk_flags
1,alpha_policy,True,,voladj_mom_96,long_only,1,1.5,24,8.754760388752757,8.754760388752757,6.717523312566394,2.849823268703543,False,0.0,0.851269179825364,5.126723459616473,5.126723459616473,0.682045168708938,balanced,0,0.0,,,1,1.0,9.657651369496701,1,1.0,14.646481543762334,-3.5257713993847806,8.754760388752757,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,may_like_regime
2,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,long_only,3,1.5,24,-11.751138982122866,-11.751138982122866,11.361435109046454,2.3786930438990774,False,0.0,0.9513967172875318,-17.15473634622042,-17.15473634622042,0.1809522377061993,balanced,1,0.0,,,1,1.0,6.634481068463449,2,0.5,-8.013088735044438,-3.299873411253562,-11.751138982122866,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,stress_edge,may_like_regime"
3,cash_gate_veto,False,decision_score,voladj_mom_96,long_only,1,0.5,24,-5.037273028155775,-5.037273028155775,5.671121933267156,2.8504952465972075,False,0.0,0.7781754177458676,-8.18942883141808,-8.18942883141808,0.19091773497584508,balanced,2,0.0,,,2,0.5,-3.0461386527211864,1,0.0,-3.067357424521233,-5.711252454567894,-5.037273028155775,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
4,cash_gate_veto,False,decision_score,voladj_mom_96,long_only,1,1.5,24,-10.54606468849304,-10.54606468849304,25.077742302975466,3.3766663358123465,False,0.0,0.7155854523335377,-20.396652673034758,-20.396652673034758,0.30717988306957594,balanced,3,0.0,,,2,0.5,-13.210949447659281,1,0.0,-5.9882010551639,-6.899170946707745,-10.54606468849304,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
5,cash_gate_veto,False,decision_score,mom_48,short_only,1,0.5,24,-3.1221328482449517,-3.3109028321460925,3.7012341424895516,1.434717646528346,False,0.0,0.6841778376838463,-5.632601538543205,-5.632601538543205,0.17919409288809404,balanced,4,-0.3775399678022817,0.0,-5.022469045307012,2,0.5,-1.871563719071856,1,0.0,-1.4092615620109994,-5.376838328756694,-3.1221328482449517,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge"
6,cash_gate_veto,False,decision_score,mom_48,short_only,1,0.5,24,-1.800229364612893,-1.625426591895368,2.4261586398480954,1.89877973887353,False,0.0,0.8611883513553864,-3.7663646428752813,-3.7663646428752813,0.17474014337499247,balanced,5,0.34960554543504996,0.2,-3.9907642862177246,1,0.0,-1.2558520982229537,2,1.0,0.06181285052291319,-6.688181495494538,-1.800229364612893,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,stress_edge,may_like_regime"
7,cash_gate_veto,False,decision_score,mom_96,long_only,3,1.5,24,-15.454435685018343,-15.198160918184453,16.278052621672767,2.8484761545603923,False,0.0,0.864506148412376,-22.192238558388485,-22.192238558388485,0.20370080806682214,balanced,6,0.5125495336677796,0.16666666666666666,-3.4044635534783487,2,0.5,-5.060531160475534,1,0.0,-12.391141361304658,-5.820196058155325,-15.454435685018343,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
8,cash_gate_veto,False,decision_score,rev_12,long_short,1,0.5,24,-5.519280853706221,-4.728608027096835,4.401533486910148,2.6745139585378075,False,0.0,0.9237771405005906,-7.654810458266273,-7.654810458266273,0.1494242966399564,balanced,7,1.5813456532187704,0.14285714285714285,-3.983870662194817,2,0.5,-0.8439404400119255,1,0.0,-3.1732269337916508,-7.203642586665959,-5.519280853706221,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
9,cash_gate_veto,False,catastrophic_regime_risk,voladj_rev_12,short_only,1,0.5,24,1.7900271383236799,2.767878722309311,3.64584211719784,1.9999809118665077,False,0.0,0.9849242448181841,0.014447614062790937,0.014447614062790937,0.5009906898524319,balanced,8,1.9557031679712622,0.125,-3.603771214728904,2,0.5,-0.7671079630199862,1,1.0,4.005514893180773,-7.313407281623185,1.7900271383236799,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,may_like_regime
10,cash_gate_veto,False,decision_score,rev_12,short_only,1,1.5,24,-8.860737112583816,-8.251303153699212,28.469910225817408,2.73090450231953,False,0.0,0.8972611330676833,-19.56166343233683,-19.56166343233683,0.33467859582924686,balanced,9,1.21886791776921,0.1111111111111111,-3.5239951848171955,1,1.0,49.018672585936194,2,0.5,-2.086857383429974,18.713021522483707,-8.860737112583816,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,stress_edge,may_like_regime"
11,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",neural_ensemble,short_only,1,1.5,24,-7.333846163118308,-6.215369750123418,13.138855326154182,3.5742074000434236,True,0.0,0.9646204926009393,-12.26089985317879,-12.26089985317879,0.28228027163697805,balanced,10,2.2369528259897775,0.2,-2.917697677596369,2,1.0,5.964579445593721,1,0.0,-0.5297568251666607,0.4297344755618937,-7.333846163118308,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
12,cash_gate_veto,False,decision_score,voladj_rev_96,short_only,3,1.5,24,-3.8155610067555745,-2.7672571661038727,7.7303421213839645,2.741130577543607,False,0.0,0.8532396539567124,-6.752736389523329,-6.752736389523329,0.29451895267120287,balanced,11,2.0966076813034036,0.18181818181818182,-3.2561515186038488,2,1.0,3.971583207349272,1,1.0,0.37568661136739845,-1.494457011260708,-3.8155610067555745,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,stress_edge,may_like_regime"
13,cash_gate_veto,False,catastrophic_regime_risk,rev_96,short_only,1,1.5,24,8.940543789422971,9.984412113744812,4.940903098451119,2.682813968007954,False,0.0,0.9560662567922068,6.820996644098609,6.820996644098609,0.7990738873436105,balanced,12,2.087736648643682,0.16666666666666666,-3.136922701834264,2,1.0,10.34831503189475,1,1.0,13.806688117281052,4.806971090625289,8.940543789422971,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,may_like_regime
14,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",rev_96,short_only,1,1.5,24,-10.283208243167097,-9.948087579085593,19.704761128371775,3.6814831818143525,False,0.0,0.9946545291448324,-18.33673576773296,-18.33673576773296,0.28280830377491867,balanced,13,0.6702413281630094,0.15384615384615385,-3.464787011553327,1,1.0,28.345356173220758,2,0.0,-6.276594185172868,8.272185501080642,-10.283208243167097,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
15,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,short_only,3,1.5,24,-7.995905350188481,-7.167772788361993,13.85207147145528,2.3289694737356443,False,0.0,0.9727781146989657,-13.47516497541979,-13.47516497541979,0.27432462518343326,balanced,14,1.6562651236529766,0.21428571428571427,-2.9179189234527,2,1.0,0.19909150970660594,1,0.0,-4.087258824307771,6.44226811403914,-7.995905350188481,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
16,cash_gate_veto,False,decision_score,voladj_mom_96,short_only,1,1.5,24,-9.204731562028556,-8.281290293536035,18.6869237683542,1.7921521444804966,False,0.0,0.7952054165172221,-16.01452173723584,-16.01452173723584,0.29796843709127613,balanced,15,1.8468825369850426,0.2,-2.9554162636594876,2,0.5,-0.5788492140554102,1,0.0,-5.7157827217886865,6.078802560851071,-9.204731562028556,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
17,cash_gate_veto,False,decision_score,voladj_rev_12,short_only,1,1.5,24,-4.566915301553987,-3.279771140482543,8.09544490309338,2.9341008344020407,False,0.0,0.9292510089742432,-7.507053370026591,-7.507053370026591,0.28346911082681947,balanced,16,2.5742883221428876,0.25,-2.5031625260881443,2,1.0,1.3521905366270515,1,1.0,3.0573698156985074,-12.711601208791578,-4.566915301553987,False,,,0.0,diplom_risk_disabled,0,0,0,0,0,"gate_stress,stress_edge,may_like_regime"
