window_id,split,period,start_timestamp,end_timestamp,bars,start_equity,end_equity,return_pct,max_drawdown_pct,active_rate,avg_turnover_per_bar,mean_gross_exposure,rebalance_count,stop_exits,take_profit_exits,filter_exits
1,gate,2026-01,2026-01-24 09:50:00,2026-01-30 23:40:00,615,10000.0,11464.648154376233,14.646481543762334,-9.922653210584343,1.0,0.08536585365853659,1.5,18,0,0,0
2,gate,2026-01,2026-01-31 09:50:00,2026-01-31 18:50:00,55,10000.0,10001.655099427062,0.016550994270625452,-1.0080623903320318,1.0,0.08181818181818182,1.5,3,0,0,0
2,gate,2026-02,2026-02-01 09:50:00,2026-02-06 23:40:00,560,10001.655099427062,9200.213601336874,-8.013088735044438,-12.545603483441415,1.0,0.06607142857142857,1.5,23,0,0,0
3,gate,2026-02,2026-02-07 09:50:00,2026-02-13 23:40:00,615,10000.0,9693.264257547877,-3.067357424521233,-4.78601144896027,1.0,0.03333333333333333,0.5,21,0,0,0
4,gate,2026-02,2026-02-16 06:50:00,2026-02-20 23:40:00,505,10000.0,9401.17989448361,-5.9882010551639,-10.340035406274028,1.0,0.09801980198019802,1.5,17,0,0,0
5,gate,2026-02,2026-02-21 09:50:00,2026-02-27 23:40:00,569,10000.0,9859.0738437989,-1.4092615620109994,-2.46834703093719,1.0,0.030755711775043937,0.5,18,0,0,0
6,gate,2026-02,2026-02-28 09:50:00,2026-02-28 18:50:00,55,10000.0,10006.181285052291,0.06181285052291319,-0.6515411414603878,1.0,0.02727272727272727,0.5,2,0,0,0
6,gate,2026-03,2026-03-01 09:50:00,2026-03-06 23:40:00,560,10006.181285052291,10013.605475013943,0.07419603693110677,-3.300831494322931,1.0,0.03214285714285714,0.5,18,0,0,0
7,gate,2026-03,2026-03-09 06:50:00,2026-03-13 23:40:00,505,10000.0,8760.885863869535,-12.391141361304658,-16.22587616753448,1.0,0.0702970297029703,1.5,21,0,0,0
8,gate,2026-03,2026-03-14 09:50:00,2026-03-20 23:40:00,615,10000.0,9682.677306620835,-3.1732269337916508,-4.461773317763107,1.0,0.03983739837398374,0.5,26,0,0,0
9,gate,2026-03,2026-03-23 06:50:00,2026-03-27 23:40:00,510,10000.0,10400.551489318077,4.005514893180773,-1.8504512191129918,1.0,0.04215686274509804,0.5,22,0,0,0
10,gate,2026-03,2026-03-28 09:50:00,2026-03-31 23:40:00,314,10000.0,10021.065966944061,0.21065966944060488,-3.6718709909099534,1.0,0.11942675159235669,1.5,13,0,0,0
10,gate,2026-04,2026-04-01 06:50:00,2026-04-03 23:40:00,306,10021.065966944061,9811.9406119145,-2.086857383429974,-6.165145493049828,1.0,0.11764705882352941,1.5,12,0,0,0
11,gate,2026-04,2026-04-04 09:50:00,2026-04-10 23:40:00,620,10000.0,9947.024317483334,-0.5297568251666607,-6.470107013339199,1.0,0.11370967741935484,1.5,24,0,0,0
12,gate,2026-04,2026-04-11 09:50:00,2026-04-17 23:40:00,620,10000.0,10037.56866113674,0.37568661136739845,-12.137890837983111,1.0,0.06854838709677419,1.5,24,0,0,0
13,gate,2026-04,2026-04-18 09:50:00,2026-04-24 23:40:00,620,10000.0,11380.668811728105,13.806688117281052,-8.256018940709897,1.0,0.07016129032258064,1.5,15,0,0,0
14,gate,2026-04,2026-04-25 09:50:00,2026-04-30 23:40:00,518,10000.0,9372.340581482713,-6.276594185172868,-10.21462507508949,1.0,0.05501930501930502,1.5,10,0,0,0
14,gate,2026-05,2026-05-01 09:50:00,2026-05-01 18:50:00,55,9372.340581482713,9260.084127181792,-1.1977419442344095,-1.9240187123414243,1.0,0.05454545454545454,1.5,1,0,0,0
15,gate,2026-05,2026-05-02 09:50:00,2026-05-08 23:40:00,620,10000.0,9591.274117569223,-4.087258824307771,-6.5579516909650915,1.0,0.06693548387096775,1.5,25,0,0,0
16,gate,2026-05,2026-05-11 06:50:00,2026-05-15 23:40:00,510,10000.0,9428.42172782113,-5.7157827217886865,-8.521991813451157,1.0,0.07352941176470588,1.5,13,0,0,0
17,gate,2026-05,2026-05-16 09:50:00,2026-05-22 23:40:00,620,10000.0,10305.736981569851,3.0573698156985074,-5.1341249863576355,1.0,0.12338709677419354,1.5,26,0,0,0
18,gate,2026-05,2026-05-23 09:50:00,2026-05-29 23:40:00,620,10000.0,10681.413903190707,6.814139031907063,-3.7478067332979315,1.0,0.11209677419354838,1.5,26,0,0,0
19,gate,2026-05,2026-05-30 09:50:00,2026-05-31 18:50:00,110,10000.0,10033.098406555599,0.3309840655559837,-1.2982474263842136,1.0,0.06818181818181818,1.5,5,0,0,0
19,gate,2026-06,2026-06-01 06:50:00,2026-06-05 23:40:00,510,10033.098406555599,9982.760463425018,-0.501718821951247,-4.789934214593316,1.0,0.06470588235294118,1.5,21,0,0,0
