ticker,prediction_count,first_decision_date,last_decision_date,mean_p_high,max_p_high,latest_risk_class,latest_p_low,latest_p_medium,latest_p_high,latest_feature_coverage
ASTR,31,2023-12-29,2026-06-19,0.31376831561361523,0.8377519575739913,high,0.0430773115425594,0.1309213084925392,0.8260013799649014,1.0
WUSH,41,2023-02-28,2026-06-19,0.587295135073417,0.8536960767756503,high,0.0458119975668065,0.1419884920510095,0.8121995103821839,1.0
MTLR,46,2022-09-30,2026-06-19,0.40517380327136154,0.7827216750139818,high,0.0514791655324279,0.1657991594535902,0.7827216750139818,1.0
RNFT,46,2022-09-30,2026-06-19,0.5113487981288474,0.8146471887084173,high,0.0544550559305213,0.1787835219941792,0.7667614220752993,1.0
HYDR,46,2022-09-30,2026-06-19,0.22124468598163896,0.7176738465328246,high,0.070261461372872,0.2537180081423489,0.676020530484779,1.0
SMLT,46,2022-09-30,2026-06-19,0.38524854945879755,0.7676053662121756,high,0.0707437770123944,0.256175965921724,0.6730802570658815,1.0
FEES,45,2022-09-30,2026-06-19,0.33465848032959594,0.8007567942377193,high,0.0746841934654615,0.2766818996419543,0.648633906892584,1.0
ENPG,46,2022-09-30,2026-06-19,0.48770258759579455,0.847021593730463,high,0.0749611716886471,0.2781527070074834,0.6468861213038694,1.0
UGLD,30,2024-01-31,2026-06-19,0.4000355906057763,0.8581781389460228,high,0.076830466740063,0.2881846048442146,0.6349849284157224,1.0
SGZH,46,2022-09-30,2026-06-19,0.49589272059654194,0.8593754396195197,high,0.079524865279922,0.302980892836154,0.6174942418839239,1.0
ALRS,46,2022-09-30,2026-06-19,0.19213551031353357,0.4992464776148916,high,0.0964384111544462,0.4072000460041059,0.4963615428414478,1.0
RUAL,46,2022-09-30,2026-06-19,0.2242223587962592,0.6055165327144292,high,0.1015226857653914,0.4438480519784595,0.4546292622561489,1.0
IRAO,46,2022-09-30,2026-06-19,0.13213400514243476,0.598236291332303,medium,0.1059743915144903,0.479142225686098,0.4148833827994116,1.0
CBOM,46,2022-09-30,2026-06-19,0.30533817330522717,0.8577569283080893,medium,0.1060243912834312,0.4795600754106485,0.4144155333059201,1.0
POSI,46,2022-09-30,2026-06-19,0.2828932242683263,0.805747597617313,medium,0.1064710688286122,0.4833172614655299,0.4102116697058577,1.0
SPBE,46,2022-09-30,2026-06-19,0.5531087247191525,0.8953579317374342,medium,0.1160243845381005,0.5799839208886235,0.3039916945732759,1.0
BSPB,46,2022-09-30,2026-06-19,0.2545202953838905,0.7882366630206972,medium,0.1181332961392762,0.6099723420358889,0.2718943618248348,1.0
MGNT,46,2022-09-30,2026-06-19,0.17428549028633405,0.4854355568346583,medium,0.1212356442861783,0.6932121777779177,0.185552177935904,1.0
MAGN,46,2022-09-30,2026-06-19,0.19255642413707294,0.5890481035652352,medium,0.1211827254670598,0.7174473278860428,0.1613699466468973,1.0
CHMF,46,2022-09-30,2026-06-19,0.1833097402804432,0.4987219512561356,medium,0.1211320178222857,0.7208859972297114,0.1579819849480027,1.0
NLMK,46,2022-09-30,2026-06-19,0.19522934948347606,0.5089774287464252,medium,0.1208545443666545,0.7331774132727926,0.1459680423605528,1.0
RAGR,16,2025-03-31,2026-06-19,0.4031834723114331,0.8610291734121175,medium,0.1206031343939204,0.740781176972454,0.1386156886336254,1.0
OZON,43,2022-09-30,2026-06-19,0.252359566918429,0.513012919810262,medium,0.1755051327386388,0.7032189462080761,0.1212759210532849,1.0
VKCO,44,2022-09-30,2026-06-19,0.3718844418365341,0.7607782653895422,medium,0.1675062866051475,0.711247793059614,0.1212459203352382,1.0
LKOH,46,2022-09-30,2026-06-19,0.11099951874498304,0.3944873901501167,medium,0.164281949679403,0.7145008285879604,0.1212172217326367,1.0
