period,variant,selected_candidate_changed_windows,gate_pass_changed_windows,affected_windows,affected_but_vetoed_windows,affected_and_traded_windows,raw_delta_sum_pct,executed_delta_sum_pct
broad_2022_2026_monthly,baseline,0,0,0,0,0,0.0,0.0
broad_2022_2026_monthly,fresh_candidate_only,3,0,3,3,0,5.031736448806614,0.0
broad_2022_2026_monthly,fresh_combined,7,1,18,18,0,2.6356850706361454,0.4954212646312794
broad_2022_2026_monthly,fresh_gate_only,0,0,0,0,0,0.0,0.0
broad_2022_2026_monthly,fresh_target_only,4,1,15,15,0,18.478743403932498,0.4954212646312794
broad_2022_2026_monthly,old_artifact_target_only,1,0,2,2,0,2.5289820059284214,0.0
default_2026,baseline,0,0,0,0,0,0.0,0.0
default_2026,fresh_candidate_only,2,0,2,2,0,-3.8488874290226294,0.0
default_2026,fresh_combined,6,0,9,8,1,8.889525447065429,0.15148490816734395
default_2026,fresh_gate_only,0,0,0,0,0,0.0,0.0
default_2026,fresh_target_only,3,0,7,6,1,3.6286289523311925,0.15148490816734395
default_2026,old_artifact_target_only,0,0,0,0,0,0.0,0.0
may_2026,baseline,0,0,0,0,0,0.0,0.0
may_2026,fresh_candidate_only,0,0,0,0,0,0.0,0.0
may_2026,fresh_combined,0,0,0,0,0,0.0,0.0
may_2026,fresh_gate_only,0,0,0,0,0,0.0,0.0
may_2026,fresh_target_only,0,0,0,0,0,0.0,0.0
may_2026,old_artifact_target_only,0,0,0,0,0,0.0,0.0
y2025_full_year,baseline,0,0,0,0,0,0.0,0.0
y2025_full_year,fresh_candidate_only,0,0,0,0,0,0.0,0.0
y2025_full_year,fresh_combined,2,1,5,5,0,11.367055483109317,0.6190142867889881
y2025_full_year,fresh_gate_only,0,1,1,1,0,0.0,0.6190142867889881
y2025_full_year,fresh_target_only,0,0,2,2,0,6.840847089058155,0.0
y2025_full_year,old_artifact_target_only,0,0,2,2,0,0.6581449663689112,0.0
ydex_transition,baseline,0,0,0,0,0,0.0,0.0
ydex_transition,fresh_candidate_only,1,0,1,1,0,-24.136602103585382,0.0
ydex_transition,fresh_combined,1,0,3,3,0,10.05664030514924,0.0
ydex_transition,fresh_gate_only,0,0,0,0,0,0.0,0.0
ydex_transition,fresh_target_only,0,0,2,2,0,4.873086646367128,0.0
ydex_transition,old_artifact_target_only,0,0,0,0,0,0.0,0.0
