wall_time,latest_candle,signal_source,source_action,action,source_selected_alpha,source_target_symbols,selected_alpha,target_symbols,position_symbols,cash,equity,pnl,return_pct,pre_trade_equity,pre_trade_return_pct,signal_start_age_minutes,signal_age_minutes,stale_signal_hit,session_loss_stop_hit,stopped,target_change_rebalance,trade_cost,turnover,total_cost,total_turnover,positions_json,active_target_weights_json,trades_json
2026-06-22T17:29:25,2026-06-22 17:00:00,candle,rebalance,rebalance,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9985.0,-15.0,-0.14999999999999458,10000.0,0.0,29.416666666666668,19.416666666666668,False,False,False,False,15.0,15000.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}","[{""symbol"": ""CNRU"", ""price"": 548.0, ""delta_value"": -5000.0, ""delta_shares"": -9.124087591240876, ""target_weight"": -0.5, ""trade_cost"": 5.0}, {""symbol"": ""RNFT"", ""price"": 70.7, ""delta_value"": -5000.0, ""delta_shares"": -70.72135785007072, ""target_weight"": -0.5, ""trade_cost"": 5.0}, {""symbol"": ""SMLT"", ""price"": 316.4, ""delta_value"": -5000.0, ""delta_shares"": -15.802781289506955, ""target_weight"": -0.5, ""trade_cost"": 5.0}]"
2026-06-22T17:30:42,2026-06-22 17:00:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9985.978157557189,-14.021842442811248,-0.14021842442811794,9985.978157557189,-0.14021842442811794,30.7,20.7,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:31:53,2026-06-22 17:00:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9950.12839985356,-49.87160014643996,-0.4987160014643943,9950.12839985356,-0.4987160014643943,31.883333333333333,21.883333333333333,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:33:02,2026-06-22 17:00:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9915.405177053737,-84.59482294626287,-0.8459482294626341,9915.405177053737,-0.8459482294626341,33.03333333333333,23.033333333333335,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:34:12,2026-06-22 17:00:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9916.854482937384,-83.14551706261591,-0.8314551706261608,9916.854482937384,-0.8314551706261608,34.2,24.2,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:35:22,2026-06-22 17:10:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9926.222584567093,-73.77741543290722,-0.7377741543290739,9926.222584567093,-0.7377741543290739,25.366666666666667,15.366666666666667,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:36:40,2026-06-22 17:10:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9924.022255414242,-75.97774458575805,-0.759777445857579,9924.022255414242,-0.759777445857579,26.666666666666668,16.666666666666668,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:37:48,2026-06-22 17:10:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9991.477575696887,-8.52242430311344,-0.08522424303113452,9991.477575696887,-0.08522424303113452,27.8,17.8,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:39:02,2026-06-22 17:10:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,10047.800803320803,47.800803320802515,0.47800803320803276,10047.800803320803,0.47800803320803276,29.033333333333335,19.033333333333335,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
2026-06-22T17:40:12,2026-06-22 17:10:00,candle,hold,hold,voladj_mom_96,"CNRU,RNFT,SMLT",voladj_mom_96,"CNRU,RNFT,SMLT","CNRU,RNFT,SMLT",24985.0,9947.219943468595,-52.780056531404625,-0.5278005653140516,9947.219943468595,-0.5278005653140516,30.2,20.2,False,False,False,False,0.0,0.0,15.0,15000.0,"{""CNRU"": -9.124087591240876, ""RNFT"": -70.72135785007072, ""SMLT"": -15.802781289506955}","{""CNRU"": -0.5, ""RNFT"": -0.5, ""SMLT"": -0.5}",[]
