model,threshold,final_equity,pnl,return_pct,return_pct_no_cost,buy_hold_return_pct,max_drawdown_pct,sharpe_like,active_rate,long_rate,short_rate,avg_turnover_per_bar,total_symbol_turnover,rows,bars,symbols
baseline,0.0,6246.209912223107,-3753.7900877768934,-37.537900877768934,5.7292140681376225,-3.3083913320915204,-37.43371284899205,-156.3842966071846,1.0,0.43356666666666666,0.5664333333333333,0.837788864956454,25282.0,30000,628,50
baseline,0.0002,6359.878238408781,-3640.121761591219,-36.401217615912195,5.28788457387821,-3.3083913320915204,-36.287417765765994,-158.26019204151112,0.8223333333333334,0.348,0.47433333333333333,0.8024359633038616,24192.0,30000,628,50
baseline,0.0005,6821.51069135776,-3178.48930864224,-31.784893086422393,4.1742084928385825,-3.3083913320915204,-31.784893086422393,-147.5092312391639,0.5931666666666666,0.2459,0.34726666666666667,0.6740021419286646,20427.0,30000,628,50
baseline,0.001,7762.649429635029,-2237.3505703649707,-22.37350570364971,2.722461366585738,-3.3083913320915204,-22.378775841576516,-113.5058384580055,0.34436666666666665,0.14136666666666667,0.203,0.4459576305136658,13483.0,30000,628,50
baseline,0.002,9018.815537281616,-981.1844627183837,-9.811844627183842,1.0848674862333985,-3.3083913320915204,-9.822451771116626,-68.12878258203298,0.1261,0.05313333333333333,0.07296666666666667,0.1816081715387161,5384.0,30000,628,50
grpo_lora,0.0,6258.406972915247,-3741.593027084753,-37.41593027084753,5.06984128942487,-3.3083913320915204,-37.30344125476606,-161.0015064033045,1.0,0.44406666666666667,0.5559333333333333,0.8247254704312009,25072.0,30000,628,50
grpo_lora,0.0002,6359.196360586391,-3640.803639413609,-36.40803639413609,4.451974688105564,-3.3083913320915204,-36.30078151396635,-163.93365914185213,0.8152666666666667,0.35373333333333334,0.46153333333333335,0.7899148311779751,23950.0,30000,628,50
grpo_lora,0.0005,6833.602813873465,-3166.3971861265354,-31.66397186126535,3.83657123653669,-3.3083913320915204,-31.66397186126535,-150.42742925109658,0.5797,0.2475,0.3322,0.6660150152304319,20120.0,30000,628,50
grpo_lora,0.001,7831.284565569633,-2168.715434430367,-21.68715434430367,2.158266684575594,-3.3083913320915204,-21.795956105490166,-114.00157031198206,0.3304,0.14,0.1904,0.4231757553478328,12908.0,30000,628,50
grpo_lora,0.002,9078.793681506246,-921.2063184937542,-9.212063184937547,0.5793563995696305,-3.3083913320915204,-9.34459478591817,-66.46865599563901,0.1176,0.05103333333333333,0.06656666666666666,0.16307337439268146,5013.0,30000,628,50
